"variable","unique_values","missing_values","levels","description","type","min","max","na","na_values","synonyms"
"Q1_8",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - When I was upset, I was able to let those negative feelings pass through me without clinging to them","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_9",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I was very in-touch with what is important to me and my life","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_10",7,12," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I stuck to my deeper priorities in life","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_11",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Even when I stumbled in my efforts, I didn't quit working toward what is important","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_12",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Even when times got tough, I was still able to take steps toward what I value in life","numeric"," 1"," 6",TRUE,"NA","NA"
"Q7_First_Click",159,9,"NA","Timing - First Click","numeric","  0.000","446.263",TRUE,"NA","NA"
"Q7_Last_Click",160,9,"NA","Timing - Last Click","numeric","  0.000","453.119",TRUE,"NA","NA"
"Q7_Page_Submit",167,9,"NA","Timing - Page Submit","numeric","  1.637","453.343",TRUE,"NA","NA"
"Q7_Click_Count",25,9,"NA","Timing - Click Count","numeric","  0","180",TRUE,"NA","NA"
"Q2_1",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - When I had a bad memory, I tried to distract myself to make it go away","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_2",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I tried to distract myself when I felt unpleasant emotions","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_3",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I did most things on ""automatic"" with little awareness of what I was doing","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_4",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I did most things mindlessly without paying much attention.","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_5",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I thought some of my emotions were bad or inappropriate and I shouldn't feel them","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_6",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I criticized myself for having irrational or inappropriate emotions","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_7",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Negative thoughts and feelings tended to stick with me for a long time.","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_8",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Distressing thoughts tended to spin around in my mind like a broken record.","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_9",7,8," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - My priorities and values often fell by the wayside in my day to day life","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_10",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - When life got hectic, I often lost touch with the things I value","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_11",7,9," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Negative feelings often trapped me in inaction","numeric"," 1"," 6",TRUE,"NA","NA"
"Q2_12",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Negative feelings easily stalled out my plans","numeric"," 1"," 6",TRUE,"NA","NA"
"Q8_First_Click",160,8,"NA","Timing - First Click","numeric","  0.000","234.776",TRUE,"NA","NA"
"Q8_Last_Click",160,8,"NA","Timing - Last Click","numeric","  0.000","372.426",TRUE,"NA","NA"
"Q8_Page_Submit",168,8,"NA","Timing - Page Submit","numeric","  1.181","373.335",TRUE,"NA","NA"
"Q8_Click_Count",26,8,"NA","Timing - Click Count","numeric","  0","187",TRUE,"NA","NA"
"Q5_1",8,8," 1,  2,  3,  4,  5,  6,  7","Please read the following statements. To the right of each you will find seven numbers,  ranging from ""1"" (Strongly Disagree) on the left to ""7"" (Strongly Agree) on the right.  Circle the number which best indicates your feelings about that statement. For example, if  you strongly disagree with a statement, select ""1"". If you are neutral, select ""4"", and if you  strongly agree, select ""7"", etc. - I usually manage one way or another.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_2",8,9," 1,  2,  3,  4,  5,  6,  7","I feel proud that I have accomplished things in life.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_3",8,10," 1,  2,  3,  4,  5,  6,  7"," I usually take things in stride.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_4",8,8," 1,  2,  3,  4,  5,  6,  7","I am friends with myself.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_5",8,8," 1,  2,  3,  4,  5,  6,  7","I feel that I can handle many things at a time.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_6",8,10," 1,  2,  3,  4,  5,  6,  7","I am determined. ","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_7",8,8," 1,  2,  3,  4,  5,  6,  7"," I can get through difficult times because I’ve experienced difficulty before.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_8",8,11," 1,  2,  3,  4,  5,  6,  7","I have self-discipline","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_9",8,10," 1,  2,  3,  4,  5,  6,  7","I keep interest in things.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_10",8,8," 1,  2,  3,  4,  5,  6,  7","I can usually find something to laugh about. ","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_11",8,8," 1,  2,  3,  4,  5,  6,  7","My belief in myself gets me through hard times.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_12",8,8," 1,  2,  3,  4,  5,  6,  7","- In an emergency, I’m someone people can generally rely on.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_13",8,10," 1,  2,  3,  4,  5,  6,  7","My life has meaning.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q5_14",8,8," 1,  2,  3,  4,  5,  6,  7","When I’m in a difficult situation, I can usually find my way out of it.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q9_First_Click",160,7,"NA","Timing - First Click","numeric","  0.000","185.663",TRUE,"NA","NA"
"Q9_Last_Click",160,7,"NA","Timing - Last Click","numeric","  0.000","212.829",TRUE,"NA","NA"
"Q9_Page_Submit",170,7,"NA","Timing - Page Submit","numeric","  2.588","214.218",TRUE,"NA","NA"
"Q9_Click_Count",23,7,"NA","Timing - Click Count","numeric","  0","120",TRUE,"NA","NA"
"Q6_1",8,8," 1,  2,  3,  4,  5,  6,  7","Please take a moment to think about what makes your life feel important to you. Please respond to the following statements as truthfully and accurately as you can, and also please remember that these are very subjective questions and that there are no right or wrong answers. - I understand my life’s meaning.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_2",8,8," 1,  2,  3,  4,  5,  6,  7","I am looking for something that makes my life feel meaningful","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_3",8,8," 1,  2,  3,  4,  5,  6,  7","I am always looking to find my life’s purpose.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_4",8,8," 1,  2,  3,  4,  5,  6,  7","My life has a clear sense of purpose. ","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_5",8,8," 1,  2,  3,  4,  5,  6,  7"," I have a good sense of what makes my life meaningful.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_6",8,8," 1,  2,  3,  4,  5,  6,  7","I have discovered a satisfying life purpose.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_7",8,9," 1,  2,  3,  4,  5,  6,  7"," I am always searching for something that makes my life significant.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_8",8,8," 1,  2,  3,  4,  5,  6,  7","I am seeking a purpose or mission for my life.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_9",8,9," 1,  2,  3,  4,  5,  6,  7","My life has no clear purpose. ","numeric"," 1"," 7",TRUE,"NA","NA"
"Q6_10",8,9," 1,  2,  3,  4,  5,  6,  7"," I am searching for meaning in my life.","numeric"," 1"," 7",TRUE,"NA","NA"
"Q12_First_Click",162,7,"NA","Timing - First Click","numeric","  0.000","339.484",TRUE,"NA","NA"
"Q12_Last_Click",163,7,"NA","Timing - Last Click","numeric","  0.000","571.086",TRUE,"NA","NA"
"Q12_Page_Submit",169,7,"NA","Timing - Page Submit","numeric","  0.201","571.801",TRUE,"NA","NA"
"Q12_Click_Count",24,7,"NA","Timing - Click Count","numeric","  0","114",TRUE,"NA","NA"
"Q13",3,13," 1,  2","It would be very helpful if you could tell us at this point whether you  have taken part seriously, so that we can use your answers for our  scientific analysis, or whether you were just clicking through to take a  look at the survey? Please note you will be paid through MTurk no matter what you choose.","numeric"," 1"," 2",TRUE,"NA","NA"
"workerId",1,0,"","workerId","character","","",TRUE,"NA","NA"
"assignmentId",1,0,"","assignmentId","character","","",TRUE,"NA","NA"
"hitId",1,0,"","hitId","character","","",TRUE,"NA","NA"
